cleaned_text,sentiment
accord gran company plan move production russia although company grow,neutral
last quarter componenta net sale double eurm eurm period year earlier move zero pretax profit pretax loss eurm,positive
third quarter net sale increase percentage eurmarket neutraland operating profit percentage eurmarket neutral,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin corresponding period represent percentage net sale,positive
operating profit total eurmarket neutralup eurmarket neutralin represent percentage net sale,positive
finnish talentum report operate profit increase eurmarket neutralin eurmarket neutralin net sale total eurmarket neutralup eurmarket neutral,positive
clothe retail chain seppl sale increase percentage eurmarket neutraland operating profit rise eurmarket neutralfrom eurmarket neutralin,positive
consolidated net sale increase percentage reach eur operating profit amount eur compare loss eur prior year period,positive
foundry division report sale increase percentage eurmarket neutralfrom eurmarket neutralin corresponding period sale machine shop division increase percentage eurmarket neutralfrom eurmarket neutralin corresponding period,positive
helsinki afx share close high lead nokia announce plan team sanyo manufacture handset nokian tyre fourthquarter earnings report beat analyst expectation dealer say,positive
board director propose dividend eur per share eur per share pay,positive
megafon subscriber base increase percentage million user december market share number customer amount percentage late percentage late accord teliasonera estimate,positive
net income life insurance double eurmarket neutralfrom eurmarket neutraland net income nonlife insurance rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
net sale increase eur eur pretax profit rise percentage eur eur usd,positive
net sale surge percentage eur teleste say eur percentage sale come acquisition make,positive
nordea group operate profit increase percent yearonyear billion euro total revenue percent billion euro,positive
operating profit ninemonth period increase eur net sale increase eur compare corresponding period,positive
operating profit threemonth period increase eur revenue increase eur compare corresponding period,positive
company net profit rise percentage year million euro sale million euro percentage year company say early,positive
lithuanian beer market make million liter january rise percent yearearlier figure lithuanian brewer association report cite result member,positive
viking line cargo revenue increase percentage eurmarket neutraland cargo volume increase percentage cargo unit,positive
fair value property portfolio double result kapiteeli acquisition total eur million,positive
february finnish medium company sanoma oyj hel saav say yesterday net profit almost triple eur eur announce proposal raise payout,positive
helsinki eliiv today report eps eur increase eps eur,positive
commission income increase percentage eurmarket neutraland lending volume rise percentage,positive
january traffic measure revenue passenger kilometre rpk percentage capacity measure available seat kilometre ask rise percentage,positive
januaryseptember fiskars net profit percentage yearonyear eur million net sale eur million eur million,positive
net income life insurance rise eurmarket neutralfrom eurmarket neutraland net income nonlife insurance eurmarket neutralfrom eurmarket neutralin,positive
sale rise export market,positive
sale increase due grow market rate increase operation,positive
agreement strengthen longterm partnership nokia siemens network,positive
company order book stand atbillioneurobillionon september percentage year international order amount tomillioneuromillion,positive
company say paper demand increase main market include publication paper increase average paper price percent compare last year,positive
world second large stainless steel maker say net profit threemonth period dec surge euro million million euro per share euro million euro per share previous year,positive
share standard charter stan rise percentage ftse royal bank scotland share rise percentage barclays share barc bcs percentage,positive
share nokia corp rise thursday cell phone maker say thirdquarter earnings almost double share global handset market increase,positive
financial report publish friday seb say net profit soar sek yearearlier sek propose percentage dividend increase sek per share,positive
request finnish medium company alma medium newspaper research manager jari kaivooja finland future research centre turku school economics draw future scenario finland national economy use model develop university denver,neutral
stock exchange announcement july basware share subscription warrant increase share capital total share subscribe basware warrant program,neutral
maximum new share subscribe exercise option stock option plan,neutral
tiimari operate store six country include core finnish market generate turnover ofmillioneur,neutral
acquisition considerably increase kemira sale market position russian metal industry coat market,positive
januaryseptember finnlines net sale rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
adjusted change group structure division net sale increase percentage,positive
february finnish broadband data communication system provider teleste oyj hel tltv saw net profit jump eur last quarter eur period,positive
finnish aktia group operating profit rise eurmarket neutralin first quarter eurmarket neutralin first quarter,positive
finnish bank land consolidated net operating profit increase eurmarket neutralin first quarter eurmarket neutralin first quarter,positive
finnish financial group aktia report operating profit eurmarket neutralin januaryseptember eurmarket neutralin corresponding period,positive
finnish high technology provider vaahto group report net sale eurmarket neutralin accounting period september february increase percentage year earlier,positive
net sale finnish food industry company lnnen tehtaat continue operation increase percentage eurmarket neutralfrom eurmarket neutralin,positive
biohit already service many current genesis customer customer base expect expand result agreement,positive
operating profit turnover threemonth period increase respectively eur eur compare corresponding period,positive
circulation revenue increase percentage finland percentage sweden,positive
clothing chain seppl net sale increase percentage eurmarket neutral,positive
construction volume meanwhile grow rate percent annually,positive
however biohit estimate total net sale continue grow favourable trend net sale lead profit,positive
fiskars cash flow operate activity amount eurm eurm previous year,positive
lithuania operating profit rise eur eur corresponding period,positive
fourth quarter net sale increase percentage eurmarket neutralfrom eurmarket neutralin fourth quarter,positive
international sale rise percentage eurmarket neutral,positive
net sale grow period xac million million xac million,positive
net sale increase eurm april june eurm year earlier,positive
net sale rise percentage yearonyear eur number charger deliver percentage million piece,positive
net sale total eurmarket neutralup eurmarket neutralin corresponding period,positive
operating profit increase percentage eurmarket neutralfrom eurmarket neutral,positive
operating profit margin increase percentage percentage,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin corresponding period,positive
operating profit rise eurmarket neutralfrom eurmarket neutralin fourth quarter,positive
